"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Município";"Ano"
"Coelho Neto (MA)";"49804"
"Colinas (MA)";"41443"
"Conceição do Lago-Açu (MA)";"16559"
"Coroatá (MA)";"65788"
"Cururupu (MA)";"32559"
"Davinópolis (MA)";"12923"
"Dom Pedro (MA)";"23393"
"Duque Bacelar (MA)";"11451"
"Esperantinópolis (MA)";"16971"
"Estreito (MA)";"43097"
"Feira Nova do Maranhão (MA)";"8506"
"Fernando Falcão (MA)";"10559"
"Formosa da Serra Negra (MA)";"19425"
"Fortaleza dos Nogueiras (MA)";"12662"
"Fortuna (MA)";"17812"
"Godofredo Viana (MA)";"12104"
"Gonçalves Dias (MA)";"17953"
"Governador Archer (MA)";"10931"
"Governador Edison Lobão (MA)";"18740"
"Governador Eugênio Barros (MA)";"14703"
"Governador Luiz Rocha (MA)";"7878"
"Governador Newton Bello (MA)";"10121"
"Governador Nunes Freire (MA)";"25502"
"Graça Aranha (MA)";"6261"
"Grajaú (MA)";"70692"
"Guimarães (MA)";"11966"
"Humberto de Campos (MA)";"29143"
"Icatu (MA)";"27423"
"Igarapé do Meio (MA)";"14470"
"Igarapé Grande (MA)";"11453"
"Imperatriz (MA)";"259980"
"Itaipava do Grajaú (MA)";"16158"
"Itapecuru Mirim (MA)";"69233"
"Itinga do Maranhão (MA)";"26134"
"Jatobá (MA)";"10464"
"Jenipapo dos Vieiras (MA)";"17123"
"João Lisboa (MA)";"23677"
"Joselândia (MA)";"16228"
"Junco do Maranhão (MA)";"4334"
"Lago da Pedra (MA)";"50959"
"Lago do Junco (MA)";"10900"
"Lago Verde (MA)";"16369"
"Lagoa do Mato (MA)";"11280"
"Lago dos Rodrigues (MA)";"8841"
"Lagoa Grande do Maranhão (MA)";"11534"
"Lajeado Novo (MA)";"7653"
"Lima Campos (MA)";"11943"
"Loreto (MA)";"12271"
"Luís Domingues (MA)";"7016"
"Magalhães de Almeida (MA)";"20228"
"Maracaçumé (MA)";"21773"
"Marajá do Sena (MA)";"7757"
"Maranhãozinho (MA)";"16754"
"Mata Roma (MA)";"17122"
"Matinha (MA)";"23591"
"Matões (MA)";"34099"
"Matões do Norte (MA)";"17316"
"Milagres do Maranhão (MA)";"8502"
"Mirador (MA)";"21045"
"Miranda do Norte (MA)";"29121"
"Mirinzal (MA)";"15059"
"Monção (MA)";"33888"
"Montes Altos (MA)";"9064"
"Morros (MA)";"19708"
"Nina Rodrigues (MA)";"14826"
"Nova Colinas (MA)";"5469"
"Nova Iorque (MA)";"4682"
"Nova Olinda do Maranhão (MA)";"21228"
"Olho d'Água das Cunhãs (MA)";"19616"
"Olinda Nova do Maranhão (MA)";"14968"
"Paço do Lumiar (MA)";"125265"
"Palmeirândia (MA)";"19840"
"Paraibano (MA)";"21571"
"Parnarama (MA)";"35108"
"Passagem Franca (MA)";"19253"
"Pastos Bons (MA)";"19693"
"Paulino Neves (MA)";"16295"
"Paulo Ramos (MA)";"21092"
"Pedreiras (MA)";"39153"
"Pedro do Rosário (MA)";"25560"
"Penalva (MA)";"38987"
"Peri Mirim (MA)";"14371"
"Peritoró (MA)";"23530"
"Pindaré-Mirim (MA)";"33186"
"Pinheiro (MA)";"84160"
"Pio XII (MA)";"21274"
"Pirapemas (MA)";"18814"
"Poção de Pedras (MA)";"17321"
"Porto Franco (MA)";"24294"
"Porto Rico do Maranhão (MA)";"5936"
"Presidente Dutra (MA)";"48264"
"Presidente Juscelino (MA)";"12939"
"Presidente Médici (MA)";"7124"
"Presidente Sarney (MA)";"19217"
"Presidente Vargas (MA)";"11328"
"Primeira Cruz (MA)";"15545"
"Raposa (MA)";"31586"
"Riachão (MA)";"20288"
"Ribamar Fiquene (MA)";"7859"
"Rosário (MA)";"43243"
"Sambaíba (MA)";"5686"
"Santa Filomena do Maranhão (MA)";"7878"
"Santa Helena (MA)";"42829"
"Santa Inês (MA)";"89927"
"Santa Luzia (MA)";"73105"
"Santa Luzia do Paruá (MA)";"25487"
"Santa Quitéria do Maranhão (MA)";"25884"
"Santa Rita (MA)";"38732"
"Santana do Maranhão (MA)";"13704"
"Santo Amaro do Maranhão (MA)";"16219"
"Santo Antônio dos Lopes (MA)";"14516"
"São Benedito do Rio Preto (MA)";"18769"
"São Bento (MA)";"45989"
"São Bernardo (MA)";"28825"
"São Domingos do Azeitão (MA)";"7448"
"São Domingos do Maranhão (MA)";"34391"
"São Félix de Balsas (MA)";"4540"
"São Francisco do Brejão (MA)";"12082"
"São Francisco do Maranhão (MA)";"12226"
"São João Batista (MA)";"20736"
"São João do Carú (MA)";"15768"
"São João do Paraíso (MA)";"11207"
"São João do Soter (MA)";"18746"
"São João dos Patos (MA)";"26063"
"São José de Ribamar (MA)";"180345"
"São José dos Basílios (MA)";"7639"
"São Luís (MA)";"1115932"
"São Luís Gonzaga do Maranhão (MA)";"18600"
"São Mateus do Maranhão (MA)";"41750"
"São Pedro da Água Branca (MA)";"12779"
"São Pedro dos Crentes (MA)";"4700"
"São Raimundo das Mangabeiras (MA)";"19090"
"São Raimundo do Doca Bezerra (MA)";"5028"
"São Roberto (MA)";"6856"
"São Vicente Ferrer (MA)";"22452"
"Satubinha (MA)";"14274"
"Senador Alexandre Costa (MA)";"11285"
"Senador La Rocque (MA)";"13981"
"Serrano do Maranhão (MA)";"10343"
"Sítio Novo (MA)";"18237"
"Sucupira do Norte (MA)";"10631"
"Sucupira do Riachão (MA)";"5692"
"Tasso Fragoso (MA)";"8642"
"Timbiras (MA)";"29241"
"Timon (MA)";"171317"
"Trizidela do Vale (MA)";"22223"
"Tufilândia (MA)";"5868"
"Tuntum (MA)";"42242"
"Turiaçu (MA)";"35811"
"Turilândia (MA)";"26112"
"Tutóia (MA)";"59927"
"Urbano Santos (MA)";"33791"
"Vargem Grande (MA)";"57813"
"Viana (MA)";"52852"
"Vila Nova dos Martírios (MA)";"13800"
"Vitória do Mearim (MA)";"32956"
"Vitorino Freire (MA)";"31520"
"Zé Doca (MA)";"52190"
"Acauã (PI)";"7119"
"Agricolândia (PI)";"5123"
"Água Branca (PI)";"17525"
"Alagoinha do Piauí (PI)";"7678"
"Alegrete do Piauí (PI)";"4921"
"Alto Longá (PI)";"14371"
"Altos (PI)";"40681"
"Alvorada do Gurguéia (PI)";"5469"
"Amarante (PI)";"17609"
"Angical do Piauí (PI)";"6779"
"Anísio de Abreu (PI)";"9994"
"Antônio Almeida (PI)";"3175"
"Aroazes (PI)";"5819"
"Aroeiras do Itaim (PI)";"2551"
"Arraial (PI)";"4713"
"Assunção do Piauí (PI)";"7879"
"Avelino Lopes (PI)";"11361"
"Baixa Grande do Ribeiro (PI)";"11751"
"Barra D'Alcântara (PI)";"3953"
"Barras (PI)";"47298"
"Barreiras do Piauí (PI)";"3356"
"Barro Duro (PI)";"7022"
"Batalha (PI)";"26951"
"Bela Vista do Piauí (PI)";"4044"
"Belém do Piauí (PI)";"3607"
"Beneditinos (PI)";"10479"
"Bertolínia (PI)";"5512"
"Betânia do Piauí (PI)";"6214"
"Boa Hora (PI)";"6848"
"Bocaina (PI)";"4509"
"Bom Jesus (PI)";"25584"
"Bom Princípio do Piauí (PI)";"5670"
"Bonfim do Piauí (PI)";"5700"
"Boqueirão do Piauí (PI)";"6443"
"Brasileira (PI)";"8364"
"Brejo do Piauí (PI)";"3824"
"Buriti dos Lopes (PI)";"19832"
"Buriti dos Montes (PI)";"8282"
"Cabeceiras do Piauí (PI)";"10671"
"Cajazeiras do Piauí (PI)";"3586"
